user_id,experiment_group,gender,age_group,device_type,investment_type,acquisition_channel,first_trade_date,total_trade_count,is_first_fractional_exp
USR_a864b3ea2228,A,M,20대,ios,적극투자형,organic,2025-01-30,139,True
USR_afeba3715c28,A,M,50대이상,ios,공격투자형,ad,2024-06-02,131,False
USR_29b33ccf7fa8,A,M,20대,android,위험중립형,ad,2024-12-29,146,True
USR_ccc9f91e233a,A,M,30대,ios,위험중립형,organic,2024-06-06,67,False
USR_eda5c723c588,A,F,30대,ios,공격투자형,ad,2024-09-28,193,False
USR_d5d5c85ab984,A,M,20대,android,적극투자형,organic,2024-05-29,68,False
USR_c9012947a52f,A,M,20대,ios,안정형,search,2024-07-19,181,True
USR_c67c5977fb81,A,M,30대,ios,안정추구형,organic,2024-05-21,170,False
USR_154cb6bae40b,A,M,30대,android,적극투자형,ad,2024-12-11,155,False
USR_d2a84c8dfd2d,A,M,30대,android,적극투자형,organic,2024-10-23,14,True
USR_b74a0ecc3799,A,F,40대,ios,위험중립형,organic,2024-04-08,42,True
USR_14f6351c4c2f,A,M,20대,ios,적극투자형,ad,2024-03-12,140,True
USR_dd4329ee07db,A,F,20대,ios,적극투자형,organic,2024-08-26,11,True
USR_7e79f847ef98,A,M,40대,ios,안정형,search,2024-08-04,192,True
USR_a3cf964ab09a,A,F,40대,android,안정추구형,organic,2024-08-01,189,False
USR_1c199e0b5fbf,A,M,30대,android,안정추구형,search,2024-10-24,180,False
USR_0b2b1ef30b1a,A,M,40대,ios,위험중립형,organic,2024-07-08,59,True
USR_fc1ea1ec4999,A,M,20대,ios,안정형,ad,2024-10-09,131,False
USR_5fd107d2f53d,A,M,20대,android,위험중립형,organic,2024-10-18,68,False
USR_0fa336e1c4d4,A,M,30대,android,공격투자형,organic,2024-06-12,148,False
USR_154d1aff1f3f,A,F,40대,ios,공격투자형,organic,2024-03-14,190,True
USR_f56092f968ca,A,F,50대이상,android,적극투자형,organic,2024-04-15,32,True
USR_8d44643972f5,A,M,30대,ios,안정형,ad,2024-09-30,50,True
USR_aa07e5ed69a3,A,M,30대,android,적극투자형,ad,2024-09-27,1,False
USR_a73ada91044d,A,M,20대,android,안정추구형,search,2024-07-17,55,False
USR_a5bef51a04ee,A,F,30대,android,공격투자형,search,2024-10-06,163,False
USR_37d3d27faaf3,A,M,20대,ios,적극투자형,search,2024-11-19,12,False
USR_3f04c0b95660,A,F,30대,ios,적극투자형,organic,2024-04-12,184,True
USR_804f6a98e074,A,M,20대,android,안정형,ad,2025-01-05,57,True
USR_a463c915a08e,A,F,20대,ios,안정형,ad,2024-12-28,119,False
USR_33bf65314547,A,M,40대,android,안정형,organic,2024-04-21,130,True
USR_b2e168292ce1,A,F,40대,ios,적극투자형,ad,2024-07-13,64,False
USR_3107d7d2a101,A,M,20대,ios,적극투자형,search,2024-07-18,74,False
USR_1424cf196021,A,M,20대,ios,적극투자형,organic,2024-08-16,181,True
USR_32f2ef72b658,A,F,20대,ios,위험중립형,search,2024-07-28,198,False
USR_f5709c2991c7,A,F,30대,android,안정추구형,search,2025-02-25,77,True
USR_c0ebfeb5818d,A,M,30대,ios,적극투자형,organic,2024-05-25,57,True
USR_82a251031fba,A,F,30대,ios,안정형,ad,2024-08-05,120,True
USR_0339fdd6346e,A,M,30대,android,안정추구형,organic,2024-03-26,165,False
USR_0b459f8233e5,A,F,20대,ios,적극투자형,search,2024-07-11,195,False
USR_6b389613abfa,A,M,40대,ios,안정형,organic,2024-07-03,139,False
USR_1ad43882227c,A,M,50대이상,ios,공격투자형,organic,2025-02-08,64,True
USR_c058b8e887c1,A,F,30대,ios,안정추구형,organic,2024-05-16,120,True
USR_be017848ab96,A,F,30대,android,공격투자형,organic,2025-01-01,42,True
USR_b0b19f2eeb53,A,M,30대,ios,위험중립형,search,2024-08-20,184,False
USR_827c75d806db,A,F,30대,ios,안정추구형,ad,2024-09-27,154,True
USR_59a97259387e,A,F,30대,ios,공격투자형,organic,2024-03-27,130,False
USR_7acf1350577c,A,F,30대,ios,적극투자형,ad,2024-08-27,118,True
USR_58538e2d7a15,A,M,20대,android,위험중립형,organic,2024-05-29,120,True
USR_2b83ceb31c14,A,M,40대,android,적극투자형,ad,2025-01-15,116,False
USR_039c8e86ac37,A,M,20대,ios,적극투자형,organic,2024-09-15,55,False
USR_fd22b1d58672,A,M,40대,android,위험중립형,organic,2024-05-20,49,False
USR_805195fbbbb7,A,F,30대,android,공격투자형,organic,2024-04-04,115,True
USR_e89c42147ce7,A,M,20대,android,적극투자형,ad,2024-05-07,142,False
USR_f9b1d9e2d3fc,A,M,30대,ios,공격투자형,organic,2024-10-13,60,False
USR_9dd4a9dbb2ca,A,M,40대,ios,위험중립형,search,2024-11-26,190,False
USR_3b219ae6494e,A,M,20대,ios,공격투자형,organic,2025-01-08,76,True
USR_9fe916d534af,A,F,20대,ios,위험중립형,ad,2025-02-01,179,True
USR_85a17f7b66e1,A,M,20대,ios,안정형,organic,2024-10-06,113,False
USR_ceb30eddcc32,A,F,20대,android,위험중립형,organic,2025-01-26,19,False
USR_7b4678ede69a,A,F,50대이상,android,적극투자형,ad,2025-01-16,31,True
USR_478e8fda1aaf,A,M,40대,android,위험중립형,organic,2024-08-18,114,True
USR_c42de9687db8,A,F,20대,android,적극투자형,organic,2025-01-09,54,True
USR_bf9290b2d8a4,A,F,30대,ios,적극투자형,organic,2024-12-10,116,False
USR_389f4b450493,A,F,20대,ios,안정추구형,ad,2024-07-11,60,False
USR_359d025a2f20,A,F,50대이상,android,안정형,search,2024-07-26,58,False
USR_6df7864f20ba,A,F,20대,ios,적극투자형,organic,2024-09-24,146,True
USR_d45525b1ba73,A,M,30대,ios,위험중립형,search,2024-10-12,127,False
USR_69c4e916a2c3,A,F,30대,android,위험중립형,search,2025-02-15,173,False
USR_48ac04c243f9,A,F,30대,android,적극투자형,ad,2024-10-14,196,True
USR_8b891090aeab,A,F,20대,android,적극투자형,organic,2024-05-05,126,False
USR_6b20c4928636,A,M,20대,ios,위험중립형,organic,2024-12-08,178,False
USR_8de9e272ba90,A,M,20대,android,안정추구형,search,2025-01-14,83,False
USR_253df44218ec,A,M,20대,android,적극투자형,ad,2024-05-27,14,False
USR_1a5f44ee409f,A,F,40대,android,적극투자형,ad,2024-11-16,34,False
USR_bcc839baf6d5,A,M,50대이상,ios,위험중립형,ad,2024-04-23,182,True
USR_05a58bb0b1b0,A,F,50대이상,ios,공격투자형,search,2025-01-01,31,True
USR_2667a980d82e,A,M,30대,ios,위험중립형,organic,2024-07-31,121,True
USR_85a58cc63739,A,F,30대,android,안정추구형,organic,2024-12-21,71,True
USR_f2b21ebebaa3,A,F,20대,android,위험중립형,ad,2025-02-27,77,False
USR_a9a99d990fab,A,F,30대,android,적극투자형,search,2024-06-26,142,False
USR_614ec1f4006a,A,F,50대이상,android,적극투자형,organic,2024-10-29,60,True
USR_c953e33056f2,A,F,50대이상,ios,위험중립형,organic,2024-08-17,170,True
USR_28f0512dd84a,A,F,20대,android,적극투자형,ad,2024-05-02,26,False
USR_7031fc62b759,A,M,30대,ios,안정추구형,organic,2024-08-03,40,True
USR_bbb8baedf150,A,F,30대,android,적극투자형,organic,2025-01-18,173,True
USR_5ecd1f2e770a,A,M,40대,android,위험중립형,organic,2024-05-27,18,False
USR_987d956a0802,A,F,20대,ios,적극투자형,ad,2025-01-09,181,True
USR_019f8e15734a,A,M,20대,android,적극투자형,organic,2025-01-31,96,False
USR_874b17aa82df,A,F,20대,android,적극투자형,search,2024-12-01,98,False
USR_e5f5313dcbe1,A,M,30대,ios,안정추구형,search,2024-10-21,171,False
USR_7e519244ac96,A,M,20대,android,안정형,ad,2024-07-17,151,True
USR_f5dc25fb2670,A,M,20대,ios,위험중립형,ad,2024-08-16,28,True
USR_2ce2d612af7c,A,F,20대,android,위험중립형,ad,2024-03-28,3,False
USR_4168a5e0a2ba,A,F,30대,ios,적극투자형,search,2024-06-19,74,True
USR_6260498afafa,A,F,20대,ios,위험중립형,organic,2024-10-23,185,True
USR_50a151af9050,A,M,30대,ios,적극투자형,organic,2025-02-08,113,False
USR_687df562cd94,A,F,20대,android,안정추구형,organic,2024-07-31,34,False
USR_eaeef6331d39,A,F,20대,ios,적극투자형,search,2024-12-06,124,False
USR_622000c4b726,A,F,30대,android,위험중립형,search,2025-01-21,58,False
USR_eb2a783fe5cb,A,M,40대,android,위험중립형,organic,2024-08-25,102,False
USR_77fb79374d0d,A,F,30대,android,공격투자형,organic,2024-05-05,164,False
USR_dab0225b8152,A,M,40대,ios,공격투자형,search,2024-05-17,157,True
USR_296ca8501985,A,F,20대,android,적극투자형,organic,2024-08-03,12,False
USR_0eb0253460c4,A,F,40대,ios,위험중립형,search,2024-12-21,95,True
USR_6624d0ed6e4a,A,M,30대,ios,적극투자형,organic,2024-12-11,168,True
USR_eaf9706648c1,A,F,20대,android,안정추구형,organic,2024-08-23,114,False
USR_42683aa6e5f9,A,M,30대,android,안정형,search,2024-04-04,102,False
USR_da02e2cbf548,A,F,20대,android,공격투자형,organic,2024-11-12,153,True
USR_1d0346bf9cd1,A,F,40대,android,위험중립형,search,2024-11-15,196,False
USR_cdf552c39e3e,A,F,40대,ios,위험중립형,ad,2024-04-29,38,False
USR_c70e546b6940,A,F,40대,ios,공격투자형,organic,2024-12-23,61,False
USR_419e984581e8,A,M,30대,ios,적극투자형,ad,2025-01-01,122,True
USR_ecca88d27bf8,A,M,20대,ios,적극투자형,search,2024-04-20,169,False
USR_522535c95026,A,M,30대,ios,안정형,organic,2024-08-07,28,False
USR_5c1bf973c0b9,A,F,30대,ios,위험중립형,organic,2025-01-26,160,False
USR_21732f8c1ee4,A,M,30대,android,위험중립형,search,2024-07-11,111,False
USR_a93e0cbd5f52,A,M,40대,android,안정추구형,organic,2024-11-10,59,True
USR_a71ccf17e117,A,F,20대,android,위험중립형,organic,2024-09-21,96,True
USR_c16979fc8031,A,M,20대,ios,공격투자형,organic,2024-07-22,190,False
USR_7c1b7fe8c258,A,F,30대,android,안정형,organic,2024-03-22,91,False
USR_8bc30267e17f,A,M,20대,android,위험중립형,organic,2024-10-04,91,True
USR_eb586f00d6b7,A,M,40대,ios,적극투자형,organic,2024-09-02,95,True
USR_75cb60594c1b,A,F,30대,ios,위험중립형,ad,2024-04-16,165,True
USR_2da3df0ca03e,A,F,20대,android,적극투자형,organic,2024-10-12,80,True
USR_010a07b0a3be,A,F,30대,ios,공격투자형,ad,2025-01-24,163,False
USR_ca6d19cded85,A,M,30대,ios,안정형,ad,2024-12-10,185,False
USR_0841ee284588,A,M,20대,android,위험중립형,organic,2024-04-18,21,False
USR_68fe8b50a652,A,M,20대,ios,위험중립형,ad,2024-06-11,111,False
USR_b8aba2fc8c44,A,M,20대,ios,적극투자형,search,2024-11-08,154,False
USR_d1100ddcbb9c,A,M,40대,android,적극투자형,organic,2024-10-03,2,True
USR_96e7d25e6d28,A,M,20대,ios,안정추구형,organic,2024-05-18,91,True
USR_aac3c0a4f61e,A,M,50대이상,ios,위험중립형,organic,2024-09-21,147,True
USR_4c282e742753,A,M,50대이상,ios,위험중립형,organic,2024-12-03,159,True
USR_8ae759180b57,A,M,20대,ios,안정추구형,ad,2024-07-20,135,True
USR_b4f4a8e7a14f,A,M,40대,ios,공격투자형,ad,2025-01-20,30,True
USR_5ccf898dc3c9,A,M,50대이상,ios,적극투자형,organic,2024-04-04,61,True
USR_3647ec31491a,A,F,40대,ios,적극투자형,ad,2025-01-21,198,False
USR_3d71b3593834,A,M,30대,android,안정형,organic,2024-05-15,160,True
USR_395e526432b4,A,F,30대,ios,적극투자형,organic,2024-04-11,71,False
USR_9eb9d4a67d10,A,F,20대,ios,안정형,organic,2024-08-24,20,True
USR_665742a2dbe5,A,F,30대,android,적극투자형,search,2024-05-07,190,True
USR_a09e2b043cdc,A,M,20대,android,안정추구형,search,2024-06-30,16,False
USR_50ea103508c7,A,F,20대,android,안정형,ad,2024-04-04,64,False
USR_6e591decd739,A,M,30대,android,위험중립형,ad,2024-10-07,199,False
USR_6009c81d08a4,A,M,20대,android,위험중립형,ad,2025-01-11,99,True
USR_b288189999c3,A,M,40대,android,적극투자형,search,2024-09-11,170,False
USR_9f897acbbbea,A,M,30대,android,적극투자형,ad,2024-04-30,22,True
USR_cbb3b92e252f,A,F,30대,android,적극투자형,organic,2024-03-15,24,True
USR_344a8b18875c,A,M,20대,ios,적극투자형,organic,2024-11-11,197,False
USR_648ca9ec42dc,A,F,40대,ios,안정추구형,organic,2025-01-08,139,True
USR_6b0a30dd9d35,A,M,40대,ios,안정추구형,ad,2024-12-23,40,True
USR_463a2280db96,A,F,20대,android,적극투자형,organic,2024-07-19,94,False
USR_a705a1532cd4,A,M,30대,ios,안정추구형,organic,2024-07-14,62,False
USR_336cbaa5835a,A,F,30대,android,안정추구형,ad,2024-05-12,119,True
USR_10f69f96f2c3,A,F,20대,ios,공격투자형,organic,2024-11-18,36,True
USR_ad1da5455fb9,A,M,50대이상,ios,안정추구형,organic,2024-03-01,32,True
USR_5900bcd2fdbb,A,F,20대,android,안정추구형,search,2024-07-20,57,False
USR_f3d210d18901,A,M,30대,ios,공격투자형,search,2024-08-21,21,False
USR_c96bc25a26de,A,F,30대,android,적극투자형,search,2024-12-16,74,False
USR_9ed7b7793878,A,M,30대,android,적극투자형,organic,2024-04-19,21,False
USR_841ff6a95812,A,M,30대,android,공격투자형,organic,2024-07-27,74,False
USR_18b51b1732f4,A,F,30대,android,공격투자형,ad,2025-01-27,128,False
USR_f51db61c0ad1,A,M,20대,ios,적극투자형,ad,2024-07-24,91,False
USR_9f5c0599a847,A,M,50대이상,ios,안정형,ad,2025-01-25,140,True
USR_e8c1f98521a2,A,M,30대,ios,공격투자형,ad,2024-04-09,96,False
USR_0ee912c2ca09,A,F,30대,ios,적극투자형,organic,2024-04-13,149,False
USR_44c8b97ce621,A,M,40대,ios,위험중립형,ad,2024-12-01,176,True
USR_67455ca6608d,A,M,20대,android,공격투자형,organic,2024-07-09,52,False
USR_fafbbef09e98,A,F,30대,android,공격투자형,organic,2024-05-26,10,False
USR_89156c326afd,A,M,40대,android,적극투자형,organic,2024-09-12,95,False
USR_1a1ba795e1fd,A,M,20대,android,안정추구형,organic,2024-11-25,128,False
USR_521d773215fe,A,M,30대,ios,적극투자형,organic,2024-07-23,47,True
USR_bf8829289451,A,F,20대,android,적극투자형,organic,2024-04-26,43,True
USR_857ce21f6e66,A,M,30대,android,위험중립형,organic,2024-07-21,15,False
USR_5d36c092bd2b,A,F,30대,android,적극투자형,organic,2025-02-13,156,False
USR_e56fc74b6d16,A,M,30대,ios,공격투자형,organic,2024-08-27,146,False
USR_514e7e8878a5,A,M,30대,ios,적극투자형,organic,2025-01-20,136,True
USR_cafdd9cfe7c4,A,F,20대,android,공격투자형,ad,2024-11-25,100,False
USR_fface10dffde,A,M,20대,android,공격투자형,organic,2024-04-21,126,False
USR_3a2d340cdbe8,A,F,30대,ios,위험중립형,ad,2025-01-15,82,True
USR_0ad46b27c7c7,A,F,20대,ios,안정추구형,ad,2024-12-10,180,True
USR_ca75817a318d,A,M,20대,ios,위험중립형,organic,2024-12-19,127,False
USR_b2a9ed73560b,A,M,30대,android,안정형,ad,2024-04-21,17,True
USR_812d4acd4682,A,F,40대,ios,적극투자형,ad,2024-05-10,82,False
USR_3d13f5bd7490,A,F,40대,ios,공격투자형,ad,2024-05-22,47,True
USR_7494d0d694d4,A,M,40대,android,안정형,organic,2024-06-08,43,False
USR_83c2242fc719,A,M,30대,android,안정형,organic,2024-10-06,65,True
USR_447a34d8faf8,A,F,30대,android,위험중립형,organic,2025-01-12,44,False
USR_e4ecfbf98332,A,M,50대이상,android,안정추구형,organic,2024-09-09,145,True
USR_c2606c7fce9d,A,F,40대,android,위험중립형,organic,2024-10-16,197,True
USR_93b8d806b2e4,A,M,30대,android,안정추구형,organic,2024-04-06,124,True
USR_ab62b1faf12f,A,M,30대,ios,적극투자형,organic,2024-12-10,124,False
USR_bd5bb006fe00,A,F,20대,android,위험중립형,organic,2024-09-05,34,True
USR_ebabeb000f2c,A,M,20대,ios,안정형,search,2024-07-13,25,False
USR_1045fab2ce5f,A,F,50대이상,ios,공격투자형,organic,2024-12-09,148,True
USR_325705645446,A,F,30대,android,위험중립형,search,2024-09-24,24,False
USR_3c5c67569191,A,F,30대,ios,위험중립형,organic,2025-02-03,153,False
USR_5f31f4a069d2,A,F,40대,ios,안정추구형,organic,2024-07-23,68,False
USR_afb1e6253286,A,M,30대,ios,위험중립형,ad,2024-11-21,74,False
USR_ea26ec1bbc65,A,F,50대이상,ios,적극투자형,ad,2024-03-17,33,True
USR_4b0b70dd29a4,A,M,50대이상,ios,공격투자형,organic,2024-12-17,131,False
USR_805eef59710d,A,F,40대,android,공격투자형,search,2024-06-08,156,True
USR_61130fa8191d,A,F,30대,ios,위험중립형,ad,2024-04-19,77,True
USR_5240747f6d25,A,M,30대,ios,공격투자형,organic,2024-06-30,95,True
USR_614699c7fec9,A,M,40대,ios,안정형,ad,2024-03-13,153,True
USR_16b48a828d0f,A,M,30대,android,위험중립형,ad,2025-02-02,44,True
USR_4a854374637a,A,M,40대,ios,공격투자형,organic,2024-10-27,180,False
USR_9a1cda016421,A,F,30대,ios,안정추구형,ad,2024-08-02,157,False
USR_0fe1482cd373,A,M,20대,ios,적극투자형,search,2024-11-14,170,True
USR_6dcb1afed93f,A,F,30대,ios,위험중립형,search,2024-05-25,198,False
USR_1e2925042ac3,A,M,30대,ios,안정형,organic,2024-10-25,77,False
USR_6e0bae7fe287,A,M,20대,ios,안정형,ad,2024-03-05,123,False
USR_034dd505baf4,A,F,20대,ios,안정형,search,2024-03-19,102,False
USR_e17485d843f5,A,F,20대,ios,위험중립형,organic,2025-01-19,114,False
USR_e55742650458,A,M,20대,android,위험중립형,organic,2024-05-17,36,True
USR_7c02973f0cb0,A,M,50대이상,ios,적극투자형,organic,2024-11-05,14,True
USR_891fb0a6cf5d,A,M,20대,android,안정형,search,2024-05-23,41,True
USR_7b3fb111c1ef,A,M,20대,ios,안정추구형,ad,2024-10-04,166,False
USR_29deb55a3f1e,A,M,30대,ios,안정추구형,search,2025-02-09,45,True
USR_ff86d4f172a3,A,F,40대,ios,안정형,search,2024-06-20,192,False
USR_8c0e03ab680f,A,M,30대,ios,안정형,ad,2025-01-05,86,True
USR_603464365b61,A,F,50대이상,ios,적극투자형,ad,2024-06-15,50,True
USR_49ae53f66832,A,F,30대,android,안정추구형,organic,2025-02-21,76,True
USR_5d3f666ee389,A,M,40대,android,공격투자형,search,2024-07-25,23,True
USR_5f894f54f461,A,M,50대이상,ios,적극투자형,organic,2025-02-25,61,False
USR_20136135df28,A,M,30대,android,위험중립형,organic,2024-10-18,178,True
USR_aa873535dfa2,A,M,30대,ios,안정형,organic,2024-03-05,177,True
USR_b9561f958f60,A,F,20대,android,위험중립형,organic,2024-12-22,117,False
USR_9ab5c7348222,A,F,30대,ios,위험중립형,ad,2024-05-29,56,True
USR_b48a939f3e34,A,F,30대,android,공격투자형,search,2024-06-03,20,True
USR_a41e50682504,A,F,20대,android,적극투자형,ad,2024-05-30,84,False
USR_2fbede2df869,A,M,30대,android,위험중립형,organic,2024-06-12,15,False
USR_2f656cd4dc05,A,M,30대,ios,공격투자형,organic,2024-09-24,102,True
USR_73b5b119b2a8,A,F,30대,ios,공격투자형,search,2024-03-07,16,False
USR_7ed7199a2246,A,F,30대,ios,적극투자형,search,2024-12-21,187,True
USR_8e029390dd84,A,F,40대,ios,안정추구형,organic,2024-08-19,175,True
USR_b9432525f354,A,F,20대,android,적극투자형,organic,2024-05-29,33,False
USR_02c9e9623165,A,M,20대,ios,안정추구형,organic,2024-03-21,109,True
USR_6e0b1e237f46,A,M,20대,ios,안정추구형,search,2025-01-02,170,False
USR_f6038bdcafe3,A,F,20대,ios,위험중립형,organic,2025-01-08,115,True
USR_a6344fb6b85a,A,F,30대,android,공격투자형,ad,2024-11-01,194,False
USR_454ab7b25b74,A,F,40대,ios,안정추구형,organic,2024-05-10,154,True
USR_3783ee4dc0f0,A,M,50대이상,android,위험중립형,ad,2024-06-07,77,False
USR_383cda708921,A,M,20대,android,적극투자형,ad,2024-03-18,127,False
USR_eaaba2e020fb,A,M,30대,ios,공격투자형,ad,2024-03-09,39,False
USR_1a5d6543a844,A,F,20대,ios,위험중립형,search,2024-03-03,119,False
USR_34ce19f12775,A,F,20대,android,안정형,search,2024-10-27,85,False
USR_868d8886833e,A,F,30대,ios,위험중립형,search,2024-11-23,97,False
USR_4f3a750daae5,A,M,40대,ios,안정형,organic,2024-03-22,123,True
USR_1e3a399a6339,A,F,20대,android,안정추구형,search,2024-11-23,31,True
USR_517c2be29dd2,A,M,30대,android,적극투자형,organic,2024-08-09,142,True
USR_6f1dcc611434,A,M,20대,android,안정추구형,ad,2024-08-28,128,False
USR_ffeb50aa9ec9,A,M,20대,android,안정추구형,ad,2024-11-16,106,False
USR_4d89cd1b6908,A,M,30대,ios,공격투자형,organic,2024-05-05,107,True
USR_b938f0743eef,A,M,20대,android,안정추구형,organic,2024-05-23,176,True
USR_caf2495fadd5,A,M,30대,android,위험중립형,organic,2024-07-08,91,False
USR_3178be45f081,A,M,30대,android,안정추구형,search,2024-04-06,135,True
USR_62f67b6f8dc7,A,M,40대,android,위험중립형,organic,2024-08-01,162,False
USR_3dbfddaef10a,A,F,30대,ios,위험중립형,organic,2024-04-18,158,True
USR_c922e761a3f2,A,M,30대,ios,적극투자형,ad,2025-02-20,71,False
USR_fdfccaae272d,A,M,30대,android,적극투자형,ad,2024-11-29,25,False
USR_92f98e9d9c40,A,M,30대,ios,적극투자형,ad,2024-08-09,104,False
USR_503ca3774a7d,A,F,40대,ios,공격투자형,organic,2025-01-18,167,True
USR_8f659635ee63,A,M,20대,android,적극투자형,ad,2025-02-24,22,True
USR_9b82afc01f65,A,M,40대,android,안정형,ad,2025-01-11,11,True
USR_859221ab1107,A,F,20대,android,위험중립형,organic,2025-01-21,72,True
USR_cebd6929eddf,A,F,20대,android,안정추구형,search,2024-11-14,193,True
USR_f6185534befc,A,F,30대,ios,위험중립형,organic,2024-05-14,100,True
USR_027d97348513,A,F,40대,android,적극투자형,organic,2024-03-13,129,True
USR_b334ad68f132,A,M,20대,ios,안정추구형,organic,2024-04-25,153,True
USR_956091ac6929,A,F,50대이상,ios,적극투자형,ad,2024-06-22,142,False
USR_627aea8f5fbb,A,F,20대,android,공격투자형,organic,2024-04-18,64,False
USR_d760b9fe197a,A,M,30대,android,안정형,organic,2024-08-13,28,False
USR_ce29678ccd30,A,F,20대,android,위험중립형,organic,2025-01-15,115,False
USR_200075aa886a,A,F,30대,ios,공격투자형,organic,2024-04-29,84,True
USR_df5ff4eb30a2,A,F,30대,android,공격투자형,organic,2024-05-18,63,True
USR_05aed8d17aa0,A,M,20대,ios,적극투자형,organic,2024-06-21,43,False
USR_f1c4c67d7da8,A,F,20대,ios,공격투자형,organic,2024-10-25,127,True
USR_d5ff81094edc,A,F,50대이상,ios,적극투자형,organic,2024-09-11,98,True
USR_cc2ece4caf66,A,F,40대,android,위험중립형,organic,2024-04-30,83,False
USR_5d5804a07825,A,F,30대,ios,안정형,ad,2024-09-18,178,False
USR_8e1d0291c499,A,M,20대,ios,안정형,organic,2024-08-11,145,False
USR_eeccc489b42b,A,M,20대,android,적극투자형,ad,2024-07-07,54,True
USR_b4c7cf4fa833,A,F,40대,android,적극투자형,ad,2024-08-03,36,True
USR_889e92074899,A,M,40대,android,적극투자형,ad,2025-01-22,154,True
USR_9b2678a6bfb9,A,F,30대,android,안정추구형,ad,2024-05-26,93,False
USR_421577084d12,A,M,20대,android,위험중립형,ad,2024-10-24,91,True
USR_baffbe202a6b,A,M,30대,android,공격투자형,organic,2024-09-12,111,True
USR_a92064fb4ea7,A,M,30대,android,적극투자형,ad,2024-03-13,115,True
USR_ed6cb75c052a,A,M,20대,android,안정형,organic,2025-02-16,76,False
USR_e18d29c4ece8,A,M,20대,android,적극투자형,organic,2024-09-22,53,False
USR_cce7a5be640b,A,M,30대,android,안정추구형,ad,2025-01-25,182,False
USR_35a96cad504a,A,M,20대,android,위험중립형,search,2024-10-27,142,False
USR_c8c1f08087be,A,M,30대,ios,공격투자형,ad,2024-11-26,169,False
USR_e84ec61d1630,A,M,30대,ios,안정추구형,search,2024-08-13,55,False
USR_e52f4df62019,A,M,20대,ios,공격투자형,ad,2024-05-30,84,False
USR_4c19af8a3192,A,M,50대이상,ios,공격투자형,organic,2024-09-21,157,True
USR_3c3e02e29578,A,F,20대,ios,위험중립형,ad,2024-03-21,77,True
USR_3b0f63ddc8a5,A,M,20대,ios,적극투자형,ad,2024-12-31,178,False
USR_5e04b1618338,A,F,30대,android,안정형,organic,2024-06-24,178,True
USR_12c7ce13e84d,A,F,20대,ios,안정추구형,search,2024-11-25,116,False
USR_f04c1fbd7132,A,F,20대,ios,적극투자형,organic,2024-08-16,130,True
USR_96aee90dee23,A,F,30대,android,적극투자형,organic,2024-12-05,8,False
USR_98db9f0dadf6,A,F,20대,ios,위험중립형,organic,2024-07-09,198,True
USR_79decc92e5d7,A,M,40대,ios,위험중립형,ad,2024-08-25,194,True
